AC_NO,Constituency,win_cand,win_party,win_votes,sec_cand,sec_party,sec_votes,thi_cand,thi_party,thi_votes,margin,tot_votes,votes_pct
71,Mailam,SHANMUGAM C VE,ADMK,21044,VIJAY NIRANJAN A,TVK,11654,VENKATESAN L,OTH,10709,9390,45511,24.29
72,Tindivanam (SC),ARJUNAN. P,ADMK,4335,SAKTHIVEL. S,TVK,2314,VANNI ARASU,VCK,2172,2021,9223,4.75
73,Vanur (SC),GOWTHAM D,DMK,3844,MURUGAN P,ADMK,3469,SURESH P,TVK,2526,375,10209,5.34
74,Viluppuram,VIJAYASURESHBABU,ADMK,13088,LAKSHMANAN R,DMK,12727,MOHANRAJ N,TVK,11402,361,39183,18.39
75,Vikravandi,SIVAKUMAR C,PMK,7104,VIJAI VADIVEL A,TVK,6183,ANNIYUR SIVA @ SIVASHANMUGAM A,DMK,4895,921,19296,9.32
76,Tirukkoyilur,VIJAY R BARANIBALAAJI,TVK,3056,PALANISAMY S,ADMK,2881,DR PON GAUTHAMSIGAMANI,DMK,2358,175,8680,4.04
77,Ulundurpettai,KUMARAGURU R,ADMK,15975,VASANTHAVEL G R,DMK,15542,SUDHAKAR M,TVK,14322,433,48060,17.91
78,Rishivandiyam,KARTHIKEYAN K,DMK,7120,ASHOK KUMAR G,TVK,6274,CHEZHIYAN P,PMK,4651,846,19153,7.88
79,Sankarapuram,UDHAYASURIYAN T,DMK,7743,RAKESH R,ADMK,6764,JAGADESAN A,TVK,4337,979,20122,8.64
80,Kallakurichi (SC),ARUL VIGNESH C,TVK,9230,MALATHI K,VCK,8338,RAJEEVGANDHI S,ADMK,7914,892,26504,10.72
81,Gangavalli (SC),NALLATHAMBI. A,ADMK,20554,SUJATHA. V,TVK,13673,CHINNADURAI. K,DMK,12861,6881,49526,25.55
82,Attur(SC),JAYASANKARAN. A.P.,ADMK,22311,SELVABHARATHI. R.,TVK,14533,ARTHANARI. S.K.,INC,10915,7778,50448,24.52
83,Yercaud (ST),USHARANI. P,ADMK,7740,REVATHI. T.M,DMK,7524,LAKSHMI JANARTHANAN. J,TVK,6132,216,22607,9.01
84,Omalur,MANI. R,ADMK,12225,ADHIYAMAAN. R.V,TVK,9475,ELANGOVAN. A.R,OTH,4843,2750,28016,10.46
85,Mettur,VENKATACHALAM. G,ADMK,13468,MIDHUN CHAKRAVARTHY. M,DMK,13043,SELVAM. K,TVK,11166,425,39722,17.42
86,Edappadi,EDAPPADI PALANISWAMI. K,ADMK,22647,PREMKUMAR. K,OTH,9505,KASI. C,DMK,5687,13142,40228,15.81
87,Sankari,VETRIVEL. S,ADMK,20365,SENTHILKUMAR. K,TVK,18161,MANIKANDAN. M,DMK,16178,2204,58043,24.08
88,Salem (West),LAKSHMANAN.S,TVK,5398,ALAGAAPURAM. R. MOHANRAJ,OTH,2109,KARTHE.M,PMK,1592,3289,10020,4.31
89,Salem (North),SIVAKUMAR. K,TVK,16218,RAJENDRAN. R,DMK,13064,SADHASIVAM. S,PMK,10420,3154,41629,19.95
90,Salem (South),VIJAY TAMILAN PARTHIBAN. A,TVK,24279,LOGANATHAN. M,DMK,14327,VINOTH. J,ADMK,13758,9952,54486,26.39
91,Veerapandi,SRI BALAJI SUGUMAR. S,ADMK,10641,PALANIVEL. M.S,TVK,9220,THARUN. A.K,DMK,9135,1421,30611,13.09
92,Rasipuram (SC),LOGESH TAMILSELVAN D,TVK,14788,PREMKUMAR S D,BJP,11434,MATHIVENTHAN M DR,DMK,11226,3354,39815,19.78
93,Senthamangalam(ST),C CHANDRASEKARAN,ADMK,17724,P POOMALAR,DMK,16260,P CHANDRASEKAR,TVK,14445,1464,50672,24.51
94,Namakkal,SRIDEVI MOHAN P S,ADMK,7635,DILIP C S,TVK,6267,RANI P,DMK,4874,1368,19709,10.95
95,Paramathi-Velur,MOORTHIY K S,DMK,6768,SEKAR S,ADMK,5890,NANDAKUMAR A,TVK,5115,878,18844,10.18
96,Tiruchengodu,ARUNRAJ K G,TVK,6282,ESWARAN E R,DMK,5125,SRMT SEKAR (A) CHANDRASEKAR R,ADMK,5055,1157,17463,9.28
98,Erode (East),M.VIJAY BALAJI,TVK,19652,GOPINATH PALANIYAPPAN,INC,13339,R.MANOHARAN,ADMK,9156,6313,44727,27.74
99,Erode (West),ANANTH MOGHAN K.K.,TVK,12268,S. MUTHUSAMY,DMK,10079,M. YUVARAJA,BJP,4518,2189,28323,12.87
100,Modakkurichi,D.SHANMUGAN,TVK,16865,S.SENTHILNATHAN,DMK,13593,S.KIRTHIKA,BJP,13043,3272,46399,24.73
101,Dharapuram (SC),SATHYABAMA.P,ADMK,20360,INDIRANI.T,DMK,12119,GOWRI CHITRA,TVK,8420,8241,42483,21.5
102,Kangayam,MANI GOUNDER,TVK,13423,NSN NATARAJ,ADMK,11096,M.P.SAMINATHAN,DMK,9671,2327,36059,17.93
103,Perundurai,THOPPU VENKATACHALAM (ALIAS) N.D. VENKATACHALAM,DMK,12198,JAYAKUMAR. S,ADMK,12162,ARUNACHALAM. V. P,TVK,9946,36,36400,18.36
104,Bhavani,KARUPPANAN. K.C,ADMK,14592,BALAKRISHNAN,TVK,12227,CHANDRASEKAR. K.A,DMK,9211,2365,37812,18.43
105,Anthiyur,HARIBASKAR.P,ADMK,14964,SIVABALAN.M,DMK,14952,VIJAY VENKATESH.M,TVK,13025,12,45942,25.11
106,Gobichettipalayam,SENGOTTAIYAN.K.A,TVK,19894,NALLASIVAM.N,DMK,15549,PRABHU.V.B,ADMK,11333,4345,49816,22.97
107,Bhavanisagar,A.BANNARI,ADMK,14525,P.L.SUNDARAM,CPI,8749,V.P.TAMILSELVI,TVK,8437,5776,33495,15.77
108,Udhagamandalam,BHOJARAJAN.M,BJP,17313,RAMACHANDRAN.B,INC,13017,IBRAHIM.R,TVK,12809,4296,45767,31.23
109,Gudalur (SC),DHRAVIDAMANI.M,DMK,21930,PON.JAYASEELAN,ADMK,14171,DEEPAK SAI KISHORE.A,TVK,10292,7759,49079,32.76
110,Coonoor,A. RAMU,ADMK,25344,M. RAJU,DMK,24057,C. THANGARAJU,TVK,20086,1287,72619,52.11
111,Mettuppalayam,SMT.KAVITHA KALYANASUNDARAM,DMK,3357,SUNILANAND,TVK,3061,O.K.CHINNARAJ,ADMK,2242,296,9677,3.99
112,Avanashi (SC),KAMALI.S,TVK,11637,DR. GOKILAMANI.V,DMK,10727,DR. L. MURUGAN,BJP,9606,910,33806,14.73
113,Tiruppur (North),V.SATHYABAMA,TVK,18224,M.S.M.ANANDAN,ADMK,10211,M.RAVI ALIAS M.SUBRAMANIAN,CPI,7645,8013,38499,14.69
114,Tiruppur (South),BALAMURUGAN. S,TVK,11154,DINESHKUMAR. N,DMK,7014,THANGARAJ. S,BJP,4510,4140,24440,13.68
115,Palladam,K.RAMKUMAR,TVK,17041,K.P.PARAMASIVAM,ADMK,12514,K.SELVARAJ,DMK,10922,4527,42974,14.38
116,Sulur,V.P.KANDASAMY,ADMK,10236,NM.SUKUMAR,TVK,9620,THALAPATHY MURUGESAN,DMK,9448,616,30743,11.32
117,Kavundampalayam,KANIMOZHI SANTHOSH,TVK,39207,ARUNKUMAR PRG,ADMK,30686,SURYA PRAKASH K.P,INC,27122,8521,102684,28.45
118,Coimbatore(North),V. SAMPATHKUMAR,TVK,3376,DURAI. SENTHAMIL SELVAN B.E,DMK,3023,VANATHI SRINIVASAN,BJP,2537,353,9495,4.23
119,Thondamuthur,S.P.VELUMANI,ADMK,13339,SATHISH RAJU (ALIAS) K.P.R. SATHISH,TVK,8391,N.R.KARTHIKEYAN,DMK,6991,4948,30210,11.77
120,Coimbatore(South),V SENTHILBALAJI,DMK,7219,V. SENTHILKUMAR,TVK,6488,AMMAN K.ARJUNAN,ADMK,1883,731,16582,10.69
121,Singanallur,K.S.SRI GIRI PRASATH,TVK,14070,K.R.JAYARAM,ADMK,8989,V.SRINIDHI,INC,8835,5081,34108,15.59
122,Kinathukadavu,VIGNESH K,TVK,23076,SABARI KARTHIKEYAN K.V.K.S,DMK,16877,DAMODARAN S,ADMK,14963,6199,57756,21.68
123,Pollachi,POLLACHI V. JAYARAMAN,ADMK,16824,K. NITHYANANDHAN,DMK,15871,G. RAMANATHAN,TVK,11635,953,46525,25.89
124,Valparai (SC),DR. SRIDHARAN. A,TVK,12164,KUTTY (ALIAS) SUDHAKAR. A,DMK,11824,LEKSHMANA SINGH. D,ADMK,11024,340,36641,24.55
125,Udumalaipettai,RADHAKRISHNAN K.,ADMK,11781,SANKAR K.,TVK,10659,JAYAKUMAR M.,DMK,10629,1122,34584,17.14
126,Madathukulam,R JAYARAMAKRISHNAN,DMK,8564,C SHANMUGAVELU,OTH,8357,R THIRUMALAI,TVK,6505,207,24721,13.26
127,Palani,RAVIMANOHARAN. K,ADMK,13041,PANDI. N,CPIM,12322,DR. PRAVEEN KUMAR. M,TVK,10016,719,37000,17.89
128,Oddanchatram,SAKKARAPANI. R,DMK,21529,MOHAN. S,TVK,12297,VIDIYAL S. SEKAR,BJP,9619,9232,45687,22.86
129,Athoor,I. PERIASAMY,DMK,8673,N. KALAISELVI,TVK,5936,A. VISWANATHAN,ADMK,4302,2737,19928,8.51
130,Nilakkottai (SC),NAGAJOTHI.S,DMK,8877,AYYANAR.R,TVK,8597,THENMOZHI.S,ADMK,5793,280,24953,12.76
131,Natham,NATHAM VISWANATHAN R,ADMK,15681,SELVAKUMAR K,DMK,12811,RAMESH L N,TVK,12672,2870,43868,18.47
132,Dindigul,NAZEER RAJA. G,TVK,12678,SENTHILKUMAR. I.P,DMK,11508,SREENIVASAN. C,ADMK,11096,1170,37368,17.89
133,Vedasandur,SAMINATHAN. T,DMK,14073,PARAMASIVAM. V.P.B.,ADMK,11808,DR.NAKAJOTHI. N,TVK,10072,2265,37698,16.78
134,Aravakurichi,SELVAKUMAR. K,ADMK,12552,ELANGO. R,DMK,12502,KARTHIKEYAN. P,TVK,11769,50,39044,21.76
135,Karur,M.R. VIJAYABHASKAR,ADMK,9123,AASEE.M. THIAGARAJAN,DMK,7536,MATHIYALAGAN V.P,TVK,4767,1587,22221,10.34
136,Krishnarayapuram(SC),DR. DHIVYA. S,ADMK,9598,SATHYA. M,TVK,8328,RAJA. C.K,DMK,8185,1270,27586,14.7
137,Kulithalai,G.BALASUBRAMANI,TVK,10181,SURIYANUR. A. CHANDRAN,DMK,9674,S.KARUNAKARAN,ADMK,8011,507,29747,14.36
138,Manapparai,R. KATHIRAVAN,TVK,21495,DR. PL. VIJAYAKUMAR,ADMK,18119,P. ABDUL SAMED,DMK,15752,3376,59320,24.92
139,Srirangam,RAMESH,TVK,7522,S. DURAIRAJ,DMK,5078,R.MANOHARAN,ADMK,4031,2444,17684,7.01
140,Tiruchirappalli,G.RAMAMOORTHI,TVK,30941,K.N.NEHRU,DMK,28530,M.RAJASEKARAN,OTH,6434,2411,69792,35.92
141,Tiruchirappalli,C. JOSEPH VIJAY,TVK,12523,S. INIGO IRUDAYARAJ,DMK,7237,G. RAJASEKARAN,ADMK,3755,5286,24613,13.67
142,Thiruverumbur,VIJAYAKUMAR (A) NAVALPATTU S. VIJI,TVK,3745,ANBIL MAHESH POYYAMOZHI,DMK,3465,KUMAR. P,ADMK,2397,280,10250,4.86
143,Lalgudi,LEEMAROSE MARTIN,ADMK,11582,T. PARIVALLAL,DMK,7736,KU PA KRISHNAN,TVK,7085,3846,28205,15.38
144,Manachanallur,KATHIRAVAN. S,DMK,17366,V.SARAVANAN,TVK,13407,R.V. BHARATHAN,ADMK,12101,3959,46173,22.27
145,Musiri,M.VIGNESH,TVK,18056,N.S.KARUNAIRAAJA,DMK,12642,N.YOGANATHAN,ADMK,11905,5414,45373,24.46
146,Thuraiyur (SC),RAVISANKAR.M,TVK,15446,E.SAROJA,ADMK,13543,M.LENIN PRASATH,INC,12010,1903,44028,24.15
147,Perambalur (SC),SIVAKUMAR. K,TVK,15695,THAMIZHSELVAN. R,ADMK,13871,DR. JAYALAKSHMI. S.T,DMK,13439,1824,45447,18.21
148,Kunnam,SIVASANKAR. S.S,DMK,18190,REVATHI MUTHAMILSELVAN,TVK,10709,SARANYA. A,ADMK,9766,7481,40607,17.85
149,Ariyalur,RAJENDRAN S,ADMK,22174,SIVAKUMAR M,TVK,17793,LATHA BALU,DMK,17389,4381,60203,25.73
150,Jayankondam,VAITHILINGAM G.,PMK,14190,KANNAN KA.SO.KA.,DMK,11186,KAVITHA RAJENDRAN G.,TVK,10280,3004,37849,16.73
151,Tittakudi (SC),GANESAN C.V,DMK,7015,RAJASEKAR A,TVK,6117,MURUGUMARAN N,ADMK,3658,898,17944,10.31
152,Vriddhachalam,VIJAY.S,TVK,12791,PREMALLATHA VIJAYAKANT,OTH,12009,DR.TAMIZHARASI.P,PMK,6684,782,34013,16.43
153,Neyveli,RAJENDRAN.R,ADMK,17628,SABA.RAJENDRAN,DMK,12126,ANAND.K,TVK,6888,5502,40481,24.31
154,Panruti,MOHAN. K,ADMK,19148,ABDUR RAHMAN. A.R,VCK,15049,MANIKANDAN. M,TVK,11959,4099,47936,23.03
155,Cuddalore,A.S.CHANDARASEKARAN,INC,14427,M.C.SAMPATH,ADMK,13687,B.RAJKUMAR,TVK,12735,740,42615,22.81
156,Kurinjipadi,A BHUVANENTHIRAN,ADMK,15489,M.R.K.PANNEERSELVAM,DMK,13894,RAJKUMAR D,TVK,8916,1595,41488,19.59
157,Bhuvanagiri,ARUNMOZHITHEVAN . A,ADMK,8164,SARAVANAN. DURAI . K,DMK,7868,MAHALINGAM . T,TVK,7423,296,24638,12.04
158,Chidambaram,PANDIAN. K.A,ADMK,12595,THAMIMUN ANSARI. M,DMK,8163,NEDUNCHEZHIYAN,TVK,7961,4432,30306,15.67
159,Kattumannarkoil(SC),L.E. JOTHIMANI,VCK,11472,A. SOZHAN,PMK,9889,S. SEENUVASAN,TVK,5475,1583,27920,15.04
160,Sirkazhi (SC),SENTHILSELVAN.R,DMK,16494,SAKTHI.M,ADMK,15935,GOPINATH.S,TVK,13365,559,47849,24.07
161,Mayiladuthurai,PALANISAMY. A M.COM.,PMK,7120,JAMAL MOHAMED YOUNOOS. Y.N,INC,7030,HAROON RASHEED. S.S,TVK,4216,90,19406,10.4
162,Poompuhar,PAVUNRAJ. S,ADMK,10778,NIVEDHA M MURUGAN,DMK,9184,VIJAYALAIYAN. J,TVK,6686,1594,27897,12.8
163,Nagapattinam,M.H.JAWAHIRULLAH,DMK,7382,THANKA.KATHIRAVAN,ADMK,4928,M.SUGUMAR,TVK,4463,2454,17553,11.71
164,Kilvelur (SC),LATHA. T,CPIM,7060,SENTHIL PANDIAN. P,TVK,6810,VADIVEL RAVANAN. S,PMK,4475,250,19616,13.08
165,Vedaranyam,MANIAN. O.S,ADMK,10737,PUGAZHENDI. M,DMK,9503,KINGSLY GERALD. A,TVK,6485,1234,28650,17.98
166,Thiruthuraipoondi(SC),MARIMUTHU.K,CPI,21983,PANDIYAN.S,TVK,17495,BALATHANDAYUTHAM.U,ADMK,11649,4488,54432,28.77
167,Mannargudi,KAMARAJ. S,OTH,12896,RAJAA.T.R.B,DMK,10996,RAJARAJAN.U,TVK,8019,1900,34172,17.77
168,Thiruvarur,KALAIVANAN POONDI K,DMK,37585,VEERAMANI V,TVK,30194,CHANDRASEKARAN GOVI,BJP,17037,7391,89895,41.63
169,Nannilam,KAMARAJ. R,ADMK,20293,MOHAMED MUBARAK,DMK,12629,PRABHAKARAN. S,TVK,11385,7664,46801,20.38
170,Thiruvidaimarudur,GOVI.CHEZHIAAN,DMK,9440,S.PRABAKARAN,TVK,8386,ELAMATHI SUBRAMANIAN,ADMK,8337,1054,27526,13.26
171,Kumbakonam,ANBALAGAN G,DMK,15735,VINOTH,TVK,12402,ASHOKKUMAR R,BJP,8907,3333,39250,19.04
172,Papanasam,DORAI. SHANMUGA PRABU,ADMK,7130,A.M. SHAHJAHAN,IUML,5703,AZARUDEEN UDUMAN ALI,TVK,5064,1427,18986,9.21
173,Thiruvaiyaru,DURAI. CHANDRASEKARAN,DMK,7407,VELU. KARTHIKEYAN,OTH,6278,MATHI. MANIKANDAN,TVK,5148,1129,20158,9.16
174,Thanjavur,R. VIJAYSARAVANAN,TVK,37068,SHAN. RAMANATHAN,DMK,27296,KARUPPU MURUGANANTHAM,BJP,11171,9772,80495,41.09
175,Orathanadu,R. VAITHILINGAM,DMK,14429,DR. K. ARVIND,TVK,11776,M. SEKAR,ADMK,6462,2653,34961,18.06
176,Pattukkottai,SEKAR C V,ADMK,5609,ANNADURAI K,DMK,5413,MATHAN C,TVK,4714,196,17443,9.56
177,Peravurani,GOVI.ELANGO,ADMK,5802,ASHOKKUMAR. N,DMK,5528,D.CHANDRAKANDEEBAN,TVK,4384,274,17233,9.85
