AC_NO,Constituency,win_cand,win_party,win_votes,sec_cand,sec_party,sec_votes,thi_cand,thi_party,thi_votes,margin,tot_votes,votes_pct
51,Uthangarai (SC),N ELAIYARAJA,TVK,19479,R KUPPUSAMY,INC,15305,T M TAMILSELVAM,ADMK,15127,4174,52399,25.87
52,Bargur,E. MURALIDHARAN,TVK,8685,D. MATHIAZHAGAN,DMK,8476,E.C. GOVINDARASAN,ADMK,7399,209,25772,12.25
53,Krishnagiri,MUKUNDHAN.P,TVK,20025,ASHOKKUMAR.K,ADMK,14294,CHELLAKUMAR.A,INC,9850,5731,46557,19.39
54,Veppanahalli,MUNUSAMY.K.P,ADMK,21345,SRINIVASAN.P.S,DMK,18777,SAMPANGI.S.R,TVK,12676,2568,54871,24.83
55,Hosur,BALAKRISHNAREDDY. P,ADMK,15305,SATHYA.S.A.,DMK,7011,VENDARKARASAN.S,TVK,4168,8294,27227,9.88
56,Thalli,DR.NAGESH KUMAR. C,BJP,17623,RAMACHANDRAN. T,CPI,16981,SURESH. G,TVK,7122,642,43465,21.08
57,Palacodu,ANBALAGAN. K.P.,ADMK,19347,GOPI. R.,TVK,11982,DR. DNV SENTHILKUMAR. S.,DMK,10503,7365,43648,19.62
58,Pennagaram,SELVAM. V.,PMK,3583,GAJENDRAN. S.,TVK,3219,G. K. M. TAMILKUMARAN,INC,2294,364,9653,4.71
59,Dharmapuri,SOWMIYA ANBUMANI,PMK,27213,SIVAN. M.,TVK,18968,DR. ELANGOVAN. V.,OTH,12252,8245,63060,27.04
60,Pappireddippatti,MARAGATHAM VETRIVEL,ADMK,35052,THILAGAVATHI. S,TVK,15360,PALANIAPPAN. P,DMK,12769,19692,65752,28.36
61,Harur (SC),SAMPATHKUMAR. V,ADMK,27779,SHANMUGAM. A,DMK,21407,RAKESH. K,TVK,17776,6372,69536,32.3
62,Chengam (SC),S.VELU,ADMK,3370,K BHARATHIDHASAN,TVK,3291,M.P.GIRI,DMK,2970,79,10349,4.3
63,Tiruvannamalai,ARUL ARUMUGAM,TVK,11570,VELU. E.V,DMK,9619,ELUMALAI. C,BJP,5409,1951,28334,13.01
64,Kilpennathur,RAMACHANDRAN.S,ADMK,27645,PITCHANDI.K,DMK,15484,RAJA.D,TVK,14611,12161,60373,27.78
65,Kalasapakkam,AGRI KRISHNAMURTHY. S S,ADMK,20864,SARAVANAN. P.S.T,DMK,13466,ELUMALAI. P,TVK,11703,7398,48876,23.11
66,Polur,ABISHEK. R,TVK,6538,SARAVANAN. P,OTH,5938,BASKARAN. C. R,PMK,5468,600,19263,9.22
67,Arani,JAYASUDHA. L,ADMK,21001,MAHALAKSHMI GOVARTHANAN,DMK,16887,VENKATESH KUMAR. D,TVK,16706,4114,57265,25.17
68,Cheyyar,MUKKUR N. SUBRAMANIAN,ADMK,30707,DUSI K MOHAN,TVK,20754,JOTHI. O,DMK,17891,9953,72707,32.96
69,Vandavasi (SC),RANI. P,ADMK,12243,AMBETHKUMAR. S,DMK,11329,UDHAYAKUMAR. M,TVK,11035,914,36248,19.16
70,Vandavasi (SC),GANESHKUMAR A,PMK,4124,GINGEE MASTHAN K S,DMK,3031,CHANDRASEKARAN B,TVK,2668,1093,10406,4.85
71,Mailam,SHANMUGAM C VE,ADMK,21044,VIJAY NIRANJAN A,TVK,11654,VENKATESAN L,OTH,10709,9390,45511,24.29
72,Tindivanam (SC),ARJUNAN. P,ADMK,7680,VANNI ARASU,VCK,5885,SAKTHIVEL. S,TVK,4834,1795,19182,9.88
73,Vanur (SC),GOWTHAM D,DMK,3844,MURUGAN P,ADMK,3469,SURESH P,TVK,2526,375,10209,5.34
74,Viluppuram,VIJAYASURESHBABU,ADMK,13088,LAKSHMANAN R,DMK,12727,MOHANRAJ N,TVK,11402,361,39183,18.39
75,Vikravandi,SIVAKUMAR C,PMK,7104,VIJAI VADIVEL A,TVK,6183,ANNIYUR SIVA @ SIVASHANMUGAM A,DMK,4895,921,19296,9.32
76,Tirukkoyilur,VIJAY R BARANIBALAAJI,TVK,3056,PALANISAMY S,ADMK,2881,DR PON GAUTHAMSIGAMANI,DMK,2358,175,8680,4.04
77,Ulundurpettai,KUMARAGURU R,ADMK,15975,VASANTHAVEL G R,DMK,15542,SUDHAKAR M,TVK,14322,433,48060,17.91
78,Rishivandiyam,KARTHIKEYAN K,DMK,7120,ASHOK KUMAR G,TVK,6274,CHEZHIYAN P,PMK,4651,846,19153,7.88
79,Sankarapuram,UDHAYASURIYAN T,DMK,11685,RAKESH R,ADMK,9803,JAGADESAN A,TVK,6237,1882,29584,12.7
80,Kallakurichi (SC),ARUL VIGNESH C,TVK,12315,MALATHI K,VCK,10917,RAJEEVGANDHI S,ADMK,9677,1398,34290,13.87
81,Gangavalli (SC),NALLATHAMBI. A,ADMK,20554,SUJATHA. V,TVK,13673,CHINNADURAI. K,DMK,12861,6881,49526,25.55
82,Attur(SC),JAYASANKARAN. A.P.,ADMK,25699,SELVABHARATHI. R.,TVK,17427,ARTHANARI. S.K.,INC,13457,8272,59744,29.04
83,Yercaud (ST),USHARANI. P,ADMK,7740,REVATHI. T.M,DMK,7524,LAKSHMI JANARTHANAN. J,TVK,6132,216,22607,9.01
84,Omalur,MANI. R,ADMK,15490,ADHIYAMAAN. R.V,TVK,13183,ELANGOVAN. A.R,OTH,6700,2307,37337,13.94
85,Mettur,VENKATACHALAM. G,ADMK,13468,MIDHUN CHAKRAVARTHY. M,DMK,13043,SELVAM. K,TVK,11166,425,39722,17.42
86,Edappadi,EDAPPADI PALANISWAMI. K,ADMK,29453,PREMKUMAR. K,OTH,11687,KASI. C,DMK,6943,17766,51058,20.06
87,Sankari,VETRIVEL. S,ADMK,22347,SENTHILKUMAR. K,TVK,21445,MANIKANDAN. M,DMK,18767,902,66325,27.51
88,Salem (West),LAKSHMANAN.S,TVK,10770,ALAGAAPURAM. R. MOHANRAJ,OTH,3919,KARTHE.M,PMK,3865,6851,21050,9.06
89,Salem (North),SIVAKUMAR. K,TVK,16218,RAJENDRAN. R,DMK,13064,SADHASIVAM. S,PMK,10420,3154,41629,19.95
90,Salem (South),VIJAY TAMILAN PARTHIBAN. A,TVK,29166,LOGANATHAN. M,DMK,18538,VINOTH. J,ADMK,15842,10628,66004,31.97
91,Veerapandi,SRI BALAJI SUGUMAR. S,ADMK,10641,PALANIVEL. M.S,TVK,9220,THARUN. A.K,DMK,9135,1421,30611,13.09
92,Rasipuram (SC),LOGESH TAMILSELVAN D,TVK,14788,PREMKUMAR S D,BJP,11434,MATHIVENTHAN M DR,DMK,11226,3354,39815,19.78
93,Senthamangalam(ST),C CHANDRASEKARAN,ADMK,21244,P POOMALAR,DMK,19686,P CHANDRASEKAR,TVK,16134,1558,59807,28.92
94,Namakkal,SRIDEVI MOHAN P S,ADMK,11059,DILIP C S,TVK,9662,RANI P,DMK,7244,1397,29415,16.35
95,Paramathi-Velur,MOORTHIY K S,DMK,6768,SEKAR S,ADMK,5890,NANDAKUMAR A,TVK,5115,878,18844,10.18
96,Tiruchengodu,ARUNRAJ K G,TVK,6282,ESWARAN E R,DMK,5125,SRMT SEKAR (A) CHANDRASEKAR R,ADMK,5055,1157,17463,9.28
98,Erode (East),M.VIJAY BALAJI,TVK,19652,GOPINATH PALANIYAPPAN,INC,13339,R.MANOHARAN,ADMK,9156,6313,44727,27.74
99,Erode (West),ANANTH MOGHAN K.K.,TVK,12268,S. MUTHUSAMY,DMK,10079,M. YUVARAJA,BJP,4518,2189,28323,12.87
100,Modakkurichi,D.SHANMUGAN,TVK,20035,S.SENTHILNATHAN,DMK,16137,S.KIRTHIKA,BJP,16068,3898,55678,29.68
101,Dharapuram (SC),SATHYABAMA.P,ADMK,20360,INDIRANI.T,DMK,12119,GOWRI CHITRA,TVK,8420,8241,42483,21.5
102,Kangayam,MANI GOUNDER,TVK,16148,NSN NATARAJ,ADMK,14129,M.P.SAMINATHAN,DMK,12043,2019,44638,22.2
103,Perundurai,THOPPU VENKATACHALAM (ALIAS) N.D. VENKATACHALAM,DMK,12198,JAYAKUMAR. S,ADMK,12162,ARUNACHALAM. V. P,TVK,9946,36,36400,18.36
104,Bhavani,KARUPPANAN. K.C,ADMK,14592,BALAKRISHNAN,TVK,12227,CHANDRASEKAR. K.A,DMK,9211,2365,37812,18.43
105,Anthiyur,HARIBASKAR.P,ADMK,17948,SIVABALAN.M,DMK,17420,VIJAY VENKATESH.M,TVK,15788,528,54602,29.85
106,Gobichettipalayam,SENGOTTAIYAN.K.A,TVK,19894,NALLASIVAM.N,DMK,15549,PRABHU.V.B,ADMK,11333,4345,49816,22.97
107,Bhavanisagar,A.BANNARI,ADMK,17342,P.L.SUNDARAM,CPI,10501,V.P.TAMILSELVI,TVK,10062,6841,40025,18.85
108,Udhagamandalam,BHOJARAJAN.M,BJP,17313,RAMACHANDRAN.B,INC,13017,IBRAHIM.R,TVK,12809,4296,45767,31.23
109,Gudalur (SC),DHRAVIDAMANI.M,DMK,21930,PON.JAYASEELAN,ADMK,14171,DEEPAK SAI KISHORE.A,TVK,10292,7759,49079,32.76
110,Coonoor,M. RAJU,DMK,27330,A. RAMU,ADMK,27079,C. THANGARAJU,TVK,23271,251,81286,58.33
111,Mettuppalayam,SMT.KAVITHA KALYANASUNDARAM,DMK,3357,SUNILANAND,TVK,3061,O.K.CHINNARAJ,ADMK,2242,296,9677,3.99
112,Avanashi (SC),KAMALI.S,TVK,14274,DR. GOKILAMANI.V,DMK,13490,DR. L. MURUGAN,BJP,12194,784,42269,18.42
113,Tiruppur (North),V.SATHYABAMA,TVK,18224,M.S.M.ANANDAN,ADMK,10211,M.RAVI ALIAS M.SUBRAMANIAN,CPI,7645,8013,38499,14.69
114,Tiruppur (South),BALAMURUGAN. S,TVK,14362,DINESHKUMAR. N,DMK,9637,THANGARAJ. S,BJP,6355,4725,32554,18.22
115,Palladam,K.RAMKUMAR,TVK,17041,K.P.PARAMASIVAM,ADMK,12514,K.SELVARAJ,DMK,10922,4527,42974,14.38
116,Sulur,V.P.KANDASAMY,ADMK,10236,NM.SUKUMAR,TVK,9620,THALAPATHY MURUGESAN,DMK,9448,616,30743,11.32
117,Kavundampalayam,KANIMOZHI SANTHOSH,TVK,39207,ARUNKUMAR PRG,ADMK,30686,SURYA PRAKASH K.P,INC,27122,8521,102684,28.45
118,Coimbatore(North),V. SAMPATHKUMAR,TVK,3376,DURAI. SENTHAMIL SELVAN B.E,DMK,3023,VANATHI SRINIVASAN,BJP,2537,353,9495,4.23
119,Thondamuthur,S.P.VELUMANI,ADMK,13339,SATHISH RAJU (ALIAS) K.P.R. SATHISH,TVK,8391,N.R.KARTHIKEYAN,DMK,6991,4948,30210,11.77
120,Coimbatore(South),V SENTHILBALAJI,DMK,7219,V. SENTHILKUMAR,TVK,6488,AMMAN K.ARJUNAN,ADMK,1883,731,16582,10.69
121,Singanallur,K.S.SRI GIRI PRASATH,TVK,14070,K.R.JAYARAM,ADMK,8989,V.SRINIDHI,INC,8835,5081,34108,15.59
122,Kinathukadavu,VIGNESH K,TVK,23076,SABARI KARTHIKEYAN K.V.K.S,DMK,16877,DAMODARAN S,ADMK,14963,6199,57756,21.68
123,Pollachi,POLLACHI V. JAYARAMAN,ADMK,20828,K. NITHYANANDHAN,DMK,19379,G. RAMANATHAN,TVK,14121,1449,56920,31.68
124,Valparai (SC),DR. SRIDHARAN. A,TVK,14634,KUTTY (ALIAS) SUDHAKAR. A,DMK,14559,LEKSHMANA SINGH. D,ADMK,13966,75,45097,30.22
125,Udumalaipettai,SANKAR K.,TVK,14259,RADHAKRISHNAN K.,ADMK,14231,JAYAKUMAR M.,DMK,13914,28,44478,22.04
126,Madathukulam,R JAYARAMAKRISHNAN,DMK,8564,C SHANMUGAVELU,OTH,8357,R THIRUMALAI,TVK,6505,207,24721,13.26
127,Palani,RAVIMANOHARAN. K,ADMK,13041,PANDI. N,CPIM,12322,DR. PRAVEEN KUMAR. M,TVK,10016,719,37000,17.89
128,Oddanchatram,SAKKARAPANI. R,DMK,21529,MOHAN. S,TVK,12297,VIDIYAL S. SEKAR,BJP,9619,9232,45687,22.86
129,Athoor,I. PERIASAMY,DMK,13025,N. KALAISELVI,TVK,9395,A. VISWANATHAN,ADMK,5465,3630,29488,12.6
130,Nilakkottai (SC),NAGAJOTHI.S,DMK,8877,AYYANAR.R,TVK,8597,THENMOZHI.S,ADMK,5793,280,24953,12.76
131,Natham,NATHAM VISWANATHAN R,ADMK,15681,SELVAKUMAR K,DMK,12811,RAMESH L N,TVK,12672,2870,43868,18.47
132,Dindigul,NAZEER RAJA. G,TVK,14677,SENTHILKUMAR. I.P,DMK,14483,SREENIVASAN. C,ADMK,14074,194,45707,21.88
133,Vedasandur,SAMINATHAN. T,DMK,14073,PARAMASIVAM. V.P.B.,ADMK,11808,DR.NAKAJOTHI. N,TVK,10072,2265,37698,16.78
134,Aravakurichi,KARTHIKEYAN. P,TVK,15903,ELANGO. R,DMK,15464,SELVAKUMAR. K,ADMK,14829,439,48981,27.3
135,Karur,M.R. VIJAYABHASKAR,ADMK,9123,AASEE.M. THIAGARAJAN,DMK,7536,MATHIYALAGAN V.P,TVK,4767,1587,22221,10.34
136,Krishnarayapuram(SC),DR. DHIVYA. S,ADMK,9598,SATHYA. M,TVK,8328,RAJA. C.K,DMK,8185,1270,27586,14.7
137,Kulithalai,G.BALASUBRAMANI,TVK,10181,SURIYANUR. A. CHANDRAN,DMK,9674,S.KARUNAKARAN,ADMK,8011,507,29747,14.36
138,Manapparai,R. KATHIRAVAN,TVK,25236,DR. PL. VIJAYAKUMAR,ADMK,21275,P. ABDUL SAMED,DMK,17981,3961,69019,29.0
139,Srirangam,RAMESH,TVK,7522,S. DURAIRAJ,DMK,5078,R.MANOHARAN,ADMK,4031,2444,17684,7.01
140,Tiruchirappalli,G.RAMAMOORTHI,TVK,30941,K.N.NEHRU,DMK,28530,M.RAJASEKARAN,OTH,6434,2411,69792,35.92
141,Tiruchirappalli,C. JOSEPH VIJAY,TVK,12523,S. INIGO IRUDAYARAJ,DMK,7237,G. RAJASEKARAN,ADMK,3755,5286,24613,13.67
142,Thiruverumbur,VIJAYAKUMAR (A) NAVALPATTU S. VIJI,TVK,3745,ANBIL MAHESH POYYAMOZHI,DMK,3465,KUMAR. P,ADMK,2397,280,10250,4.86
143,Lalgudi,LEEMAROSE MARTIN,ADMK,11582,T. PARIVALLAL,DMK,7736,KU PA KRISHNAN,TVK,7085,3846,28205,15.38
144,Manachanallur,KATHIRAVAN. S,DMK,20818,V.SARAVANAN,TVK,15494,R.V. BHARATHAN,ADMK,14562,5324,54650,26.36
145,Musiri,M.VIGNESH,TVK,18056,N.S.KARUNAIRAAJA,DMK,12642,N.YOGANATHAN,ADMK,11905,5414,45373,24.46
146,Thuraiyur (SC),RAVISANKAR.M,TVK,18020,E.SAROJA,ADMK,15824,M.LENIN PRASATH,INC,14615,2196,52037,28.55
147,Perambalur (SC),SIVAKUMAR. K,TVK,15695,THAMIZHSELVAN. R,ADMK,13871,DR. JAYALAKSHMI. S.T,DMK,13439,1824,45447,18.21
148,Kunnam,SIVASANKAR. S.S,DMK,18190,REVATHI MUTHAMILSELVAN,TVK,10709,SARANYA. A,ADMK,9766,7481,40607,17.85
149,Ariyalur,RAJENDRAN S,ADMK,25943,SIVAKUMAR M,TVK,19985,LATHA BALU,DMK,19926,5958,69187,29.57
150,Jayankondam,VAITHILINGAM G.,PMK,14190,KANNAN KA.SO.KA.,DMK,11186,KAVITHA RAJENDRAN G.,TVK,10280,3004,37849,16.73
151,Tittakudi (SC),GANESAN C.V,DMK,7015,RAJASEKAR A,TVK,6117,MURUGUMARAN N,ADMK,3658,898,17944,10.31
152,Vriddhachalam,VIJAY.S,TVK,12791,PREMALLATHA VIJAYAKANT,OTH,12009,DR.TAMIZHARASI.P,PMK,6684,782,34013,16.43
153,Neyveli,RAJENDRAN.R,ADMK,17628,SABA.RAJENDRAN,DMK,12126,ANAND.K,TVK,6888,5502,40481,24.31
154,Panruti,MOHAN. K,ADMK,19148,ABDUR RAHMAN. A.R,VCK,15049,MANIKANDAN. M,TVK,11959,4099,47936,23.03
155,Cuddalore,A.S.CHANDARASEKARAN,INC,14427,M.C.SAMPATH,ADMK,13687,B.RAJKUMAR,TVK,12735,740,42615,22.81
156,Kurinjipadi,A BHUVANENTHIRAN,ADMK,19568,M.R.K.PANNEERSELVAM,DMK,17342,RAJKUMAR D,TVK,10295,2226,51187,24.17
157,Bhuvanagiri,ARUNMOZHITHEVAN . A,ADMK,11895,SARAVANAN. DURAI . K,DMK,11114,MAHALINGAM . T,TVK,10615,781,35329,17.26
158,Chidambaram,PANDIAN. K.A,ADMK,12595,THAMIMUN ANSARI. M,DMK,8163,NEDUNCHEZHIYAN,TVK,7961,4432,30306,15.67
159,Kattumannarkoil(SC),L.E. JOTHIMANI,VCK,11472,A. SOZHAN,PMK,9889,S. SEENUVASAN,TVK,5475,1583,27920,15.04
160,Sirkazhi (SC),SENTHILSELVAN.R,DMK,16494,SAKTHI.M,ADMK,15935,GOPINATH.S,TVK,13365,559,47849,24.07
161,Mayiladuthurai,JAMAL MOHAMED YOUNOOS. Y.N,INC,10967,PALANISAMY. A M.COM.,PMK,10135,HAROON RASHEED. S.S,TVK,6427,832,29091,15.58
162,Poompuhar,PAVUNRAJ. S,ADMK,10778,NIVEDHA M MURUGAN,DMK,9184,VIJAYALAIYAN. J,TVK,6686,1594,27897,12.8
163,Nagapattinam,M.H.JAWAHIRULLAH,DMK,7382,THANKA.KATHIRAVAN,ADMK,4928,M.SUGUMAR,TVK,4463,2454,17553,11.71
164,Kilvelur (SC),LATHA. T,CPIM,7060,SENTHIL PANDIAN. P,TVK,6810,VADIVEL RAVANAN. S,PMK,4475,250,19616,13.08
165,Vedaranyam,MANIAN. O.S,ADMK,10737,PUGAZHENDI. M,DMK,9503,KINGSLY GERALD. A,TVK,6485,1234,28650,17.98
166,Thiruthuraipoondi(SC),MARIMUTHU.K,CPI,26086,PANDIYAN.S,TVK,21037,BALATHANDAYUTHAM.U,ADMK,13399,5049,64533,34.11
167,Mannargudi,KAMARAJ. S,OTH,12896,RAJAA.T.R.B,DMK,10996,RAJARAJAN.U,TVK,8019,1900,34172,17.77
168,Thiruvarur,KALAIVANAN POONDI K,DMK,41199,VEERAMANI V,TVK,33778,CHANDRASEKARAN GOVI,BJP,18333,7421,98835,45.77
169,Nannilam,KAMARAJ. R,ADMK,20293,MOHAMED MUBARAK,DMK,12629,PRABHAKARAN. S,TVK,11385,7664,46801,20.38
170,Thiruvidaimarudur,GOVI.CHEZHIAAN,DMK,9440,S.PRABAKARAN,TVK,8386,ELAMATHI SUBRAMANIAN,ADMK,8337,1054,27526,13.26
171,Kumbakonam,ANBALAGAN G,DMK,19786,VINOTH,TVK,16144,ASHOKKUMAR R,BJP,10547,3642,49211,23.87
172,Papanasam,DORAI. SHANMUGA PRABU,ADMK,7130,A.M. SHAHJAHAN,IUML,5703,AZARUDEEN UDUMAN ALI,TVK,5064,1427,18986,9.21
173,Thiruvaiyaru,DURAI. CHANDRASEKARAN,DMK,11176,VELU. KARTHIKEYAN,OTH,8882,MATHI. MANIKANDAN,TVK,7895,2294,29827,13.56
174,Thanjavur,R. VIJAYSARAVANAN,TVK,41062,SHAN. RAMANATHAN,DMK,30192,KARUPPU MURUGANANTHAM,BJP,12470,10870,89167,45.52
175,Orathanadu,R. VAITHILINGAM,DMK,18450,DR. K. ARVIND,TVK,14581,M. SEKAR,ADMK,8672,3869,44742,23.11
176,Pattukkottai,ANNADURAI K,DMK,9005,SEKAR C V,ADMK,7209,MATHAN C,TVK,6769,1796,25189,13.81
177,Peravurani,GOVI.ELANGO,ADMK,5802,ASHOKKUMAR. N,DMK,5528,D.CHANDRAKANDEEBAN,TVK,4384,274,17233,9.85
